               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.038184,            0.013298,           0.0050943,             0.94787,             0.89388,             0.91835,             0.45047,            0.037106,            0.011252,           0.0030187,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040453,            0.013745,           0.0038859,              0.9033,             0.87019,             0.88338,             0.44768,             0.03601,            0.011172,            0.002936,            0.007327,            0.007327,            0.007327
                  56,            0.040605,             0.01396,           0.0038647,             0.93906,             0.88363,             0.90967,             0.44214,            0.037779,            0.011109,           0.0028357,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037778,            0.013023,           0.0037831,             0.95359,             0.88715,             0.92099,             0.46805,            0.035511,            0.010886,           0.0029377,            0.007228,            0.007228,            0.007228
                  58,            0.038437,            0.013736,           0.0043969,             0.93241,             0.88737,             0.90258,             0.43686,            0.036737,            0.011332,            0.002763,           0.0071785,           0.0071785,           0.0071785
                  59,            0.040033,            0.013708,           0.0046313,              0.9487,             0.89199,             0.91191,              0.4458,             0.03571,            0.011087,           0.0023001,            0.007129,            0.007129,            0.007129
                  60,             0.03691,              0.0136,           0.0031543,             0.92561,             0.89729,             0.91139,             0.43968,             0.03754,            0.011121,            0.002323,           0.0070795,           0.0070795,           0.0070795
                  61,            0.039082,            0.013786,           0.0037221,             0.90903,             0.86691,             0.87299,             0.40845,            0.037601,            0.011254,            0.002812,             0.00703,             0.00703,             0.00703
                  62,            0.037159,            0.013752,           0.0041078,             0.93525,             0.88055,             0.90519,             0.44659,            0.040675,            0.011214,           0.0029587,           0.0069805,           0.0069805,           0.0069805
                  63,            0.038233,             0.01312,           0.0033634,             0.94012,             0.87722,             0.90245,             0.46043,            0.035058,            0.011382,            0.002968,            0.006931,            0.006931,            0.006931
                  64,            0.038837,            0.013511,           0.0041375,             0.94379,             0.88788,             0.91413,             0.45838,            0.037139,            0.011444,            0.002799,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036843,            0.013061,           0.0029793,             0.93869,             0.90315,             0.92049,             0.47152,            0.037346,            0.011322,           0.0025284,            0.006832,            0.006832,            0.006832
                  66,            0.039623,            0.013082,           0.0044277,             0.94294,             0.89361,             0.91662,             0.46072,             0.03741,            0.011376,           0.0025498,           0.0067825,           0.0067825,           0.0067825
                  67,            0.035993,             0.01343,           0.0035916,             0.91871,             0.89195,             0.90467,             0.44685,            0.035022,            0.011428,           0.0028529,            0.006733,            0.006733,            0.006733
                  68,            0.036826,            0.013242,           0.0035369,             0.95923,             0.87972,             0.91099,             0.44781,             0.03607,            0.011254,            0.002859,           0.0066835,           0.0066835,           0.0066835
                  69,            0.036379,            0.013101,           0.0028387,             0.94582,             0.89395,             0.91394,             0.46088,            0.036511,             0.01121,           0.0023447,            0.006634,            0.006634,            0.006634
